Trial_number,Chosen_castle,Chosen_location,Correct_location,Accuracy,Number_of_doors,RT,Current_orientation,Current_color,Current_size,First_feature,Second_feature,Third_feature,Participant_size,Participant_orientation,Participant_number,Participant_gender,Early_exit
171,2,0,0,1,4,1.0169153999995615,-38.5,12,0.30000000000000004,color,orientation,size,0.3400000000000001,11.0,1,female,1
172,2,3,3,1,4,1.4679763000003732,11.0,21,0.1,color,orientation,size,0.3400000000000001,11.0,1,female,1
173,2,2,2,1,4,1.516406800000368,-11.5,19,0.3400000000000001,color,orientation,size,0.3400000000000001,11.0,1,female,1
174,2,1,1,1,4,4.6006777999991755,74.0,7,0.4600000000000001,color,orientation,size,0.3400000000000001,11.0,1,female,1
175,2,0,0,1,4,1.7503371000002517,-20.5,3,0.22000000000000003,color,orientation,size,0.3400000000000001,11.0,1,female,1
176,2,2,2,1,4,1.135235200000352,-74.5,17,0.4600000000000001,color,orientation,size,0.3400000000000001,11.0,1,female,1
177,2,0,0,1,4,0.9831829000004291,-74.5,10,0.3400000000000001,color,orientation,size,0.3400000000000001,11.0,1,female,1
178,2,0,0,1,4,2.7668234000002485,-2.5,4,0.22000000000000003,color,orientation,size,0.3400000000000001,11.0,1,female,1
179,2,3,3,1,4,1.6665351000001465,78.5,15,0.42000000000000004,color,orientation,size,0.3400000000000001,11.0,1,female,1
180,2,0,0,1,4,1.7339216999998825,-7.0,3,0.30000000000000004,color,orientation,size,0.3400000000000001,11.0,1,female,1
181,3,4,4,1,8,4.448789699999907,-7.0,18,0.22000000000000003,color,orientation,size,0.3400000000000001,11.0,1,female,1
182,3,1,1,1,8,2.3502220999998826,-43.0,3,0.3400000000000001,color,orientation,size,0.3400000000000001,11.0,1,female,1
183,3,2,3,0,8,1.7162260000004608,38.0,12,0.4600000000000001,color,orientation,size,0.3400000000000001,11.0,1,female,1
184,3,0,1,0,8,4.365503999999419,-29.5,5,0.4600000000000001,color,orientation,size,0.3400000000000001,11.0,1,female,1
185,3,6,4,0,8,5.899240600000667,2.0,20,0.26,color,orientation,size,0.3400000000000001,11.0,1,female,1
186,3,7,6,0,8,3.8157254000007015,33.5,17,0.14,color,orientation,size,0.3400000000000001,11.0,1,female,1
187,3,1,1,1,8,8.632154299999456,-34.0,4,0.38,color,orientation,size,0.3400000000000001,11.0,1,female,1
188,3,6,6,1,8,1.7662778999992952,47.0,23,0.22000000000000003,color,orientation,size,0.3400000000000001,11.0,1,female,1
189,3,2,0,0,8,9.65004300000055,-52.0,9,0.18000000000000002,color,orientation,size,0.3400000000000001,11.0,1,female,1
190,3,0,0,1,8,6.9334395000005316,-2.5,0,0.26,color,orientation,size,0.3400000000000001,11.0,1,female,1
191,3,1,0,0,8,1.3830394999995406,-7.0,0,0.14,color,orientation,size,0.3400000000000001,11.0,1,female,1
192,3,6,7,0,8,1.5657963000003292,47.0,16,0.3400000000000001,color,orientation,size,0.3400000000000001,11.0,1,female,1
193,3,2,4,0,8,5.831847399999788,-79.0,13,0.22000000000000003,color,orientation,size,0.3400000000000001,11.0,1,female,1
194,3,6,6,1,8,1.5985541000000012,56.0,24,0.22000000000000003,color,orientation,size,0.3400000000000001,11.0,1,female,1
195,3,2,3,0,8,6.583538099999714,74.0,5,0.38,color,orientation,size,0.3400000000000001,11.0,1,female,1
196,3,1,0,0,8,16.149763500000518,-56.5,7,0.1,color,orientation,size,0.3400000000000001,11.0,1,female,1
197,3,5,5,1,8,4.299058100000366,-88.0,24,0.38,color,orientation,size,0.3400000000000001,11.0,1,female,1
198,3,2,1,0,8,5.150904300000548,-83.5,4,0.38,color,orientation,size,0.3400000000000001,11.0,1,female,1
199,3,5,4,0,8,2.198085799999717,-79.0,21,0.30000000000000004,color,orientation,size,0.3400000000000001,11.0,1,female,1
200,3,4,4,1,8,3.415285099999892,-7.0,17,0.26,color,orientation,size,0.3400000000000001,11.0,1,female,1
201,3,1,0,0,8,2.9326083000005383,-61.0,3,0.26,color,orientation,size,0.3400000000000001,11.0,1,female,1
202,3,6,7,0,8,2.549548099999811,47.0,17,0.4600000000000001,color,orientation,size,0.3400000000000001,11.0,1,female,1
203,3,6,6,1,8,4.097860699999728,60.5,24,0.22000000000000003,color,orientation,size,0.3400000000000001,11.0,1,female,1
204,3,7,5,0,8,2.950241699999424,6.5,13,0.4600000000000001,color,orientation,size,0.3400000000000001,11.0,1,female,1
205,3,2,3,0,8,4.6319665999999415,11.0,2,0.3400000000000001,color,orientation,size,0.3400000000000001,11.0,1,female,1
206,3,3,3,1,8,3.232204200000524,38.0,12,0.3400000000000001,color,orientation,size,0.3400000000000001,11.0,1,female,1
207,3,1,1,1,8,1.4667852000002313,-38.5,1,0.3400000000000001,color,orientation,size,0.3400000000000001,11.0,1,female,1
208,3,1,0,0,8,4.73382169999968,-65.5,2,0.14,color,orientation,size,0.3400000000000001,11.0,1,female,1
209,3,6,6,1,8,5.982816499999899,11.0,17,0.22000000000000003,color,orientation,size,0.3400000000000001,11.0,1,female,1
210,3,5,5,1,8,3.550205599999572,-83.5,24,0.38,color,orientation,size,0.3400000000000001,11.0,1,female,1
211,3,4,4,1,8,2.4499542000003203,-88.0,22,0.14,color,orientation,size,0.3400000000000001,11.0,1,female,1
212,3,1,1,1,8,6.683528800000204,-20.5,10,0.3400000000000001,color,orientation,size,0.3400000000000001,11.0,1,female,1
213,3,5,5,1,8,4.9169363000000885,-61.0,15,0.4600000000000001,color,orientation,size,0.3400000000000001,11.0,1,female,1
214,3,7,6,0,8,2.6994576999995843,47.0,23,0.1,color,orientation,size,0.3400000000000001,11.0,1,female,1
215,4,0,0,1,8,10.350559200000134,-20.5,8,0.18000000000000002,color,orientation,size,0.3400000000000001,11.0,1,female,1
216,4,0,0,1,2,2.2172687000002043,-61.0,11,0.3400000000000001,color,orientation,size,0.3400000000000001,11.0,1,female,1
217,4,0,0,1,4,5.434221900000011,-74.5,4,0.38,color,orientation,size,0.3400000000000001,11.0,1,female,1
218,4,0,0,1,2,2.467286900000545,29.0,12,0.18000000000000002,color,orientation,size,0.3400000000000001,11.0,1,female,1
219,4,1,1,1,4,1.5176058999995803,69.5,1,0.18000000000000002,color,orientation,size,0.3400000000000001,11.0,1,female,1
220,4,2,0,0,8,3.1345940000001065,-88.0,9,0.18000000000000002,color,orientation,size,0.3400000000000001,11.0,1,female,1
221,4,0,0,1,4,1.7825070999997479,-74.5,2,0.3400000000000001,color,orientation,size,0.3400000000000001,11.0,1,female,1
