Trial_number,Chosen_castle,Chosen_location,Correct_location,Accuracy,Number_of_doors,RT,Current_orientation,Current_color,Current_size,First_feature,Second_feature,Third_feature,Participant_size,Participant_orientation,Participant_number,Participant_gender,Early_exit,Training_time
154,1,0,1,0,2,3.398293707999983,-38.5,24,0.1,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
155,1,1,0,0,2,1.4806279170006746,51.5,2,0.3400000000000001,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
156,1,0,1,0,2,1.106379458000447,60.5,20,0.26,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
157,1,0,1,0,2,1.0972710000023653,33.5,21,0.22000000000000003,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
158,1,0,1,0,2,0.8432988750028017,83.0,17,0.4600000000000001,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
159,1,1,0,0,2,1.166505249999318,74.0,11,0.14,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
160,1,0,0,1,2,2.1433388749974256,15.5,6,0.4600000000000001,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
161,1,1,0,0,2,0.9780218340019928,38.0,11,0.22000000000000003,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
162,1,0,1,0,2,1.0421390419978707,-25.0,19,0.42000000000000004,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
163,1,1,0,0,2,1.245885875003296,60.5,1,0.18000000000000002,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
164,1,0,1,0,2,2.7570491660007974,51.5,23,0.1,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
165,1,0,1,0,2,1.340767625002627,24.5,18,0.4600000000000001,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
166,1,1,0,0,2,2.6951447920000646,20.0,1,0.42000000000000004,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
167,1,0,1,0,2,1.2900913749981555,11.0,23,0.38,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
168,1,0,1,0,2,1.9562502080007107,47.0,21,0.3400000000000001,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
169,1,0,1,0,2,0.9333900840028946,-70.0,13,0.30000000000000004,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
170,1,0,1,0,2,0.776215082998533,-88.0,18,0.38,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
171,1,1,0,0,2,1.3782019159989432,-79.0,2,0.3400000000000001,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
172,1,0,1,0,2,2.337434666998888,24.5,20,0.4600000000000001,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
173,1,1,0,0,2,1.8603099579995614,6.5,11,0.30000000000000004,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
174,1,1,0,0,2,56.67076950000046,-56.5,0,0.26,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
175,1,1,0,0,2,2.004955083000823,65.0,8,0.26,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
176,1,0,1,0,2,1.0883373329997994,15.5,21,0.26,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
177,1,0,1,0,2,1.5965132919991447,20.0,19,0.42000000000000004,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
178,1,0,1,0,2,1.3898330410011113,-70.0,13,0.22000000000000003,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
179,1,0,1,0,2,0.8397069169986935,42.5,19,0.1,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
180,1,0,1,0,2,1.0112102499988396,-56.5,21,0.18000000000000002,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
181,1,0,1,0,2,0.978746749999118,-29.5,21,0.26,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
182,1,0,1,0,2,0.749821500001417,38.0,16,0.1,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
183,1,1,0,0,2,1.494102833999932,69.5,7,0.38,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
184,1,1,0,0,2,1.2411645000029239,69.5,1,0.14,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
185,1,1,0,0,2,1.7568377499992494,78.5,7,0.30000000000000004,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
186,1,0,1,0,2,8.640085499999259,2.0,22,0.14,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
187,1,0,1,0,2,0.5246480419991713,-56.5,21,0.1,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
188,1,1,0,0,2,1.7139072499994654,-20.5,10,0.18000000000000002,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
189,1,1,0,0,2,2.1198263750011392,65.0,7,0.30000000000000004,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
