,Trial_nr,Choice,Reward,probability_1,probability_2,probability_3,PE_1,PE_2,PE_3,LP_1,LP_2,LP_3,Nov_1,Nov_2,Nov_3,weight_PE,weight_LP,weight_Nov,model_1_probability,model_2_probability,model_3_probability
22,22.0,1.0,0.0,0.5835139975354999,0.42982670600907613,0.271149495687125,0.5714285714285714,0.5555555555555556,0.7142857142857143,-0.0714285714285714,0.5555555555555556,0.7142857142857143,0.0,1.0,4.0,,,,0.3563849118826155,0.24974884786376567,0.3938662402536189
23,23.0,2.0,1.0,0.5960085776094349,0.42982670600907613,0.271149495687125,0.5714285714285714,0.5,0.7142857142857143,0.5714285714285714,0.05555555555555558,0.7142857142857143,1.0,0.0,5.0,,,,0.24188262772981978,0.3506824701386074,0.4074349021315727
24,24.0,2.0,1.0,0.5960085776094349,0.44693190482880385,0.271149495687125,0.5714285714285714,0.4,0.7142857142857143,0.5714285714285714,0.09999999999999998,0.7142857142857143,2.0,0.0,6.0,,,,0.3352231272177786,0.25533442059934924,0.4094424521828722
25,25.0,1.0,1.0,0.5960085776094349,0.46352394768393973,0.271149495687125,0.5,0.4,0.7142857142857143,0.0714285714285714,0.4,0.7142857142857143,0.0,1.0,7.0,,,,0.3333107191752407,0.2595826490997705,0.4071066317249888
26,26.0,3.0,1.0,0.6081283202811519,0.46352394768393973,0.271149495687125,0.5,0.4,0.625,0.5,0.4,0.0892857142857143,1.0,2.0,0.0,,,,0.24626345875470218,0.32075822547943417,0.43297831576586365
27,27.0,1.0,1.0,0.6081283202811519,0.46352394768393973,0.2930150108165112,0.4444444444444444,0.4,0.625,0.05555555555555558,0.4,0.625,0.0,3.0,1.0,,,,0.359844539685046,0.378294163759624,0.26186129655532997
28,28.0,3.0,1.0,0.6198844706727173,0.46352394768393973,0.2930150108165112,0.4444444444444444,0.4,0.5555555555555556,0.4444444444444444,0.4,0.06944444444444442,1.0,4.0,0.0,,,,0.27114104196922445,0.38263578357374334,0.3462231744570322
29,29.0,3.0,0.0,0.6198844706727173,0.46352394768393973,0.31422456049201586,0.4444444444444444,0.4,0.6,0.4444444444444444,0.4,-0.0444444444444444,2.0,5.0,0.0,,,,0.3439008399817599,0.39955577199382847,0.2565433880244117
30,30.0,1.0,0.0,0.6198844706727173,0.46352394768393973,0.33479782367725536,0.5,0.4,0.6,-0.05555555555555558,0.4,0.6,0.0,6.0,1.0,,,,0.3549343315510632,0.41237486031589876,0.23269080813303805
31,31.0,2.0,0.0,0.6312879365525358,0.46352394768393973,0.33479782367725536,0.5,0.4,0.6,0.5,0.0,0.6,1.0,0.0,2.0,,,,0.23981077682935897,0.42736051749316406,0.33282870567747697
32,32.0,2.0,1.0,0.6312879365525358,0.47961822925342157,0.33479782367725536,0.5,0.4,0.6,0.5,0.0,0.6,2.0,0.0,3.0,,,,0.3533479157410129,0.27518763347574954,0.37146445078323753
33,33.0,2.0,0.0,0.6312879365525358,0.49522968237581894,0.33479782367725536,0.5,0.4,0.6,0.5,0.0,0.6,3.0,0.0,4.0,,,,0.35815473161645983,0.26532755100484395,0.37651771737869627
34,34.0,1.0,0.0,0.6312879365525358,0.5103727919045443,0.33479782367725536,0.5,0.4,0.6,0.0,0.4,0.6,0.0,1.0,5.0,,,,0.36285007595378244,0.255696126878161,0.3814537971680565
35,35.0,3.0,0.0,0.6423492984559597,0.5103727919045443,0.33479782367725536,0.5,0.4,0.6,0.5,0.4,0.0,1.0,2.0,0.0,,,,0.25008877662170526,0.33758453779871644,0.41232668557957836
36,36.0,3.0,1.0,0.6423492984559597,0.5103727919045443,0.3547538889669377,0.5,0.4,0.5,0.5,0.4,0.09999999999999998,2.0,3.0,0.0,,,,0.36285007595378244,0.3814537971680565,0.255696126878161
37,37.0,2.0,1.0,0.6423492984559597,0.5103727919045443,0.37411127229792956,0.5,0.4,0.5,0.5,0.0,0.5,3.0,0.0,1.0,,,,0.35815473161645983,0.37651771737869627,0.26532755100484395
38,38.0,2.0,0.0,0.6423492984559597,0.525061608147408,0.37411127229792956,0.5,0.5,0.5,0.5,-0.09999999999999998,0.5,4.0,0.0,2.0,,,,0.38321142944505454,0.27004453017401303,0.3467440403809325
39,39.0,1.0,1.0,0.6423492984559597,0.5393097599029858,0.37411127229792956,0.4,0.5,0.5,0.09999999999999998,0.5,0.5,0.0,1.0,3.0,,,,0.39818934104493603,0.24151404371452384,0.3602966152405401
40,40.0,3.0,0.0,0.6530788195022809,0.5393097599029858,0.37411127229792956,0.4,0.5,0.5,0.4,0.5,0.0,1.0,2.0,0.0,,,,0.28001309385857376,0.34200876515982453,0.37797814098160176
