,First_feature,Second_feature,Third_feature,Correct_response_1,Correct_response_2,Correct_response_3,Trial_nr,Choice,Reward,probability_1,probability_2,probability_3,PE_1,PE_2,PE_3,LP_1,LP_2,LP_3,Nov_1,Nov_2,Nov_3,weight_PE,weight_LP,weight_Nov,model_1_probability,model_2_probability,model_3_probability
43,0,0.0,1.0,0.0,0.0,1.0,43.0,3.0,0.0,0.7110243687284795,0.525061608147408,0.33479782367725536,1.0,2.0,2.0,1.0,2.0,0.0,6.0,1.0,0.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.6529309591163398,0.12629249616837562,0.22077654471528463
44,0,0.0,0.0,0.0,0.0,0.0,44.0,1.0,1.0,0.7110243687284795,0.525061608147408,0.3547538889669377,0.0,2.0,2.0,1.0,2.0,2.0,0.0,2.0,1.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.6702856774368079,0.1877289587016496,0.14198536386154256
45,1,1.0,1.0,1.0,3.0,7.0,45.0,3.0,0.0,0.7196936376666251,0.525061608147408,0.3547538889669377,0.0,2.0,3.0,0.0,2.0,-1.0,1.0,3.0,0.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.7027618793771735,0.1556132709214579,0.14162484970136865
46,0,1.0,0.0,0.0,1.0,2.0,46.0,1.0,1.0,0.7196936376666251,0.525061608147408,0.37411127229792956,0.0,2.0,3.0,0.0,2.0,3.0,0.0,4.0,1.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.7694539731771977,0.18690087901074923,0.043645147812053114
47,1,1.0,1.0,1.0,3.0,7.0,47.0,1.0,0.0,0.7281028285366263,0.525061608147408,0.37411127229792956,1.0,2.0,3.0,-1.0,2.0,3.0,0.0,5.0,2.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.7181784449652795,0.21060826125620605,0.07121329377851443
48,0,0.0,0.0,0.0,0.0,0.0,48.0,2.0,0.0,0.7362597436805275,0.525061608147408,0.37411127229792956,1.0,1.0,3.0,1.0,1.0,3.0,1.0,0.0,3.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.46367042307960554,0.4008048271593872,0.1355247497610072
49,1,1.0,1.0,1.0,3.0,7.0,49.0,1.0,0.0,0.7362597436805275,0.5393097599029858,0.37411127229792956,1.0,1.0,3.0,0.0,1.0,3.0,0.0,1.0,4.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.4644663612505295,0.4227144523981423,0.11281918635132816
50,1,0.0,1.0,1.0,2.0,5.0,50.0,1.0,0.0,0.7441719513701117,0.5393097599029858,0.37411127229792956,1.0,1.0,3.0,0.0,1.0,3.0,0.0,2.0,5.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.3957272294705705,0.47697252760802156,0.12730024292140785
51,0,1.0,0.0,0.0,1.0,2.0,51.0,1.0,0.0,0.5,0.25,0.125,1.0,1.0,3.0,0.0,1.0,3.0,0.0,3.0,6.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.3734386917385845,0.49456560923802434,0.13199569902339117
52,1,1.0,1.0,1.0,3.0,7.0,52.0,2.0,0.0,0.515,0.25,0.125,1.0,1.0,3.0,1.0,0.0,3.0,1.0,0.0,7.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.3516749177834724,0.5117444774245958,0.13658060479193176
